DATE,거래단위,도매시장,산지-광역시도,등급,단위_무게(kg),1kg_물량,1kg_평균가격,weighted_price,광역시도,평균기온,평균풍속,평균강수량,Month,z_score
2022-01-01,10kg파렛트,광주각화도매,제주도,특,10,24700,383.9676113360324,9484000.0,제주도,3.47,3.91,39.99,1,-0.8021961300099267
2021-01-01,10kg파렛트,광주각화도매,제주도,특,10,117400,712.563884156729,83654999.99999999,제주도,4.19,4.14,100.17,1,0.10865286580230209
2021-01-01,10kg파렛트,광주각화도매,제주도,특,10,39200,721.9897959183673,28302000.0,제주도,4.19,4.14,100.17,1,0.13478092315670723
2021-01-01,10kg파렛트,광주각화도매,제주도,특,10,13600,755.0,10268000.0,제주도,4.19,4.14,100.17,1,0.2262832125199177
2021-01-01,8kg파렛트,광주각화도매,충청남도,특,8,24960,750.0,18720000.0,충청남도,-1.33,2.59,21.51,1,0.21242351490385183
2024-01-01,8kg상자,광주서부도매,강원도,특,8,23424,462.5,10833600.0,강원도,-2.87,2.02,14.74,1,-0.5845090980199364
2024-01-01,10kg파렛트,광주서부도매,강원도,특,10,85400,400.0,34160000.0,강원도,-2.87,2.02,14.74,1,-0.75775531822076
2021-01-01,10kg파렛트,광주서부도매,강원도,특,10,28800,655.5555555555555,18880000.0,강원도,-5.16,2.29,7.75,1,-0.0493707733996149
2023-01-01,8kg그물망,광주서부도매,광주광역시,특,8,15616,459.375,7173600.0,광주광역시,-0.01,2.09,34.62,1,-0.5931714090299777
2023-01-01,8kg그물망,광주서부도매,광주광역시,특,8,6272,344.6428571428571,2161600.0,광주광역시,-0.01,2.09,34.62,1,-0.9112019703986324
2021-01-01,8kg그물망,광주서부도매,광주광역시,특,8,10880,500.0,5440000.0,광주광역시,-0.04,2.36,28.98,1,-0.48056136589944237
2021-01-01,8kg그물망,광주서부도매,광주광역시,특,8,2496,325.0,811200.0,광주광역시,-0.04,2.36,28.98,1,-0.9656507824617483
2024-01-01,8kg상자,광주서부도매,광주광역시,특,8,14912,550.5901287553648,8210400.000000001,광주광역시,1.61,1.85,34.54,1,-0.34032858851800313
2024-01-01,8kg상자,광주서부도매,광주광역시,특,8,6400,750.0,4800000.0,광주광역시,1.61,1.85,34.54,1,0.21242351490385183
2023-01-01,8kg상자,광주서부도매,광주광역시,특,8,51328,498.8622194513716,25605600.0,광주광역시,-0.01,2.09,34.62,1,-0.48371522477092865
2021-01-01,8kg상자,광주서부도매,광주광역시,특,8,2368,494.2567567567568,1170400.0,광주광역시,-0.04,2.36,28.98,1,-0.4964812888368153
2024-01-01,8kg파렛트,광주서부도매,광주광역시,특,8,30336,314.1877637130801,9531199.999999996,광주광역시,1.61,1.85,34.54,1,-0.9956216475597813
2024-01-01,8kg파렛트,광주서부도매,광주광역시,특,8,22400,639.2857142857143,14320000.000000002,광주광역시,1.61,1.85,34.54,1,-0.0944697894518926
2023-01-01,8kg파렛트,광주서부도매,광주광역시,특,8,314752,526.5300935339569,165726400.0,광주광역시,-0.01,2.09,34.62,1,-0.4070215510781248
2022-01-01,8kg파렛트,광주서부도매,광주광역시,특,8,43200,416.9444444444445,18012000.000000004,광주광역시,-0.09,1.98,1.1,1,-0.7107863429663144
2024-01-01,10kg그물망,광주서부도매,광주광역시,특,10,319700,393.6784485455114,125859000.0,광주광역시,1.61,1.85,34.54,1,-0.7752782765454828
2023-01-01,10kg그물망,광주서부도매,광주광역시,특,10,781000,460.0845070422535,359326000.0,광주광역시,-0.01,2.09,34.62,1,-0.5912046984175571
2023-01-01,10kg그물망,광주서부도매,광주광역시,특,10,420500,441.4757431629013,185640550.0,광주광역시,-0.01,2.09,34.62,1,-0.6427870664928752
2022-01-01,10kg그물망,광주서부도매,광주광역시,특,10,1012700,401.5838846647576,406684000.0,광주광역시,-0.09,1.98,1.1,1,-0.7533648857183072
2022-01-01,10kg그물망,광주서부도매,광주광역시,특,10,81000,333.7037037037037,27030000.0,광주광역시,-0.09,1.98,1.1,1,-0.9415246421671151
2022-01-01,10kg그물망,광주서부도매,광주광역시,특,10,12000,370.0,4440000.0,광주광역시,-0.09,1.98,1.1,1,-0.8409135039171554
2021-01-01,10kg그물망,광주서부도매,광주광역시,특,10,847200,690.7943814919737,585241000.0000001,광주광역시,-0.04,2.36,28.98,1,0.04830912096517216
2021-01-01,10kg그물망,광주서부도매,광주광역시,특,10,132400,655.0302114803625,86726000.0,광주광역시,-0.04,2.36,28.98,1,-0.050826995404928424
2021-01-01,10kg그물망,광주서부도매,광주광역시,특,10,45200,725.0884955752213,32774000.0,광주광역시,-0.04,2.36,28.98,1,0.1433703312061077
2020-01-01,10kg그물망,광주서부도매,광주광역시,특,10,616300,1005.766672075288,619854000.0,광주광역시,2.99,2.36,60.76,1,0.9213932619500467
2020-01-01,10kg그물망,광주서부도매,광주광역시,특,10,58000,920.6896551724136,53399999.99999999,광주광역시,2.99,2.36,60.76,1,0.6855649162798936
2020-01-01,10kg그물망,광주서부도매,광주광역시,특,10,36000,1000.0,36000000.0,광주광역시,2.99,2.36,60.76,1,0.905408395707146
2024-01-01,10kg상자,광주서부도매,광주광역시,특,10,1325400,467.9311905839747,620196000.0,광주광역시,1.61,1.85,34.54,1,-0.5694541661821138
2024-01-01,10kg상자,광주서부도매,광주광역시,특,10,270200,397.7572168763879,107474000.0,광주광역시,1.61,1.85,34.54,1,-0.763972177403096
2023-01-01,10kg상자,광주서부도매,광주광역시,특,10,623100,511.1057615150056,318470000.0,광주광역시,-0.01,2.09,34.62,1,-0.44977686662061844
2023-01-01,10kg상자,광주서부도매,광주광역시,특,10,419200,484.825858778626,203239000.00000003,광주광역시,-0.01,2.09,34.62,1,-0.5226231676817872
2023-01-01,10kg상자,광주서부도매,광주광역시,특,10,4400,353.4090909090909,1554999.9999999998,광주광역시,-0.01,2.09,34.62,1,-0.8869025005522831
2022-01-01,10kg상자,광주서부도매,광주광역시,특,10,122000,409.8360655737705,50000000.0,광주광역시,-0.09,1.98,1.1,1,-0.730490339303909
2021-01-01,10kg상자,광주서부도매,광주광역시,특,10,300,510.0,153000.0,광주광역시,-0.04,2.36,28.98,1,-0.4528419706673106
2020-01-01,10kg상자,광주서부도매,광주광역시,특,10,494500,680.3336703741152,336424999.99999994,광주광역시,2.99,2.36,60.76,1,0.019312662376664628
2020-01-01,10kg상자,광주서부도매,광주광역시,특,10,14000,945.5,13237000.0,광주광역시,2.99,2.36,60.76,1,0.7543376916920279
2024-01-01,10kg파렛트,광주서부도매,광주광역시,특,10,185000,367.4378378378378,67975999.99999999,광주광역시,1.61,1.85,34.54,1,-0.8480156624793341
2022-01-01,12kg그물망,광주서부도매,광주광역시,특,12,545184,500.0,272592000.0,광주광역시,-0.09,1.98,1.1,1,-0.48056136589944237
2021-01-01,12kg그물망,광주서부도매,광주광역시,특,12,984096,657.448053848405,646992000.0,광주광역시,-0.04,2.36,28.98,1,-0.044124882584051915
2020-01-01,12kg그물망,광주서부도매,광주광역시,특,12,1524096,773.8095238095239,1179360000.0,광주광역시,2.99,2.36,60.76,1,0.27842207498035615
2020-01-01,12kg상자,광주서부도매,광주광역시,특,12,1204128,880.4552339950566,1060180799.9999996,광주광역시,2.99,2.36,60.76,1,0.5740375340247723
2020-01-01,12kg상자,광주서부도매,광주광역시,특,12,1197504,878.7878787878791,1052352000.0000004,광주광역시,2.99,2.36,60.76,1,0.5694157262267618
2020-01-01,12kg상자,광주서부도매,광주광역시,특,12,1129392,780.5304092821625,881524800.0000001,광주광역시,2.99,2.36,60.76,1,0.2970519630529525
2020-01-01,12kg상자,광주서부도매,광주광역시,특,12,92736,580.8876811594203,53869200.0,광주광역시,2.99,2.36,60.76,1,-0.2563456055525795
2022-01-01,10kg그물망,광주서부도매,서울특별시,특,10,436000,319.7155963302752,139396000.0,서울특별시,-1.93,1.46,0.85,1,-0.9802988298504711
2022-01-01,10kg상자,광주서부도매,서울특별시,특,10,26200,344.6564885496183,9030000.0,서울특별시,-1.93,1.46,0.85,1,-0.9111641849634741
2024-01-01,8kg그물망,광주서부도매,전라남도,특,8,2752,500.0,1376000.0,전라남도,3.31,2.88,42.0,1,-0.48056136589944237
2023-01-01,8kg그물망,광주서부도매,전라남도,특,8,19392,596.6996699669967,11571200.0,전라남도,2.02,2.91,49.16,1,-0.21251572883625403
2021-01-01,8kg그물망,광주서부도매,전라남도,특,8,35904,621.4126559714795,22311200.0,전라남도,1.84,2.69,36.6,1,-0.14401282619381411
2020-01-01,8kg그물망,광주서부도매,전라남도,특,8,88832,899.0904178674352,79868000.0,전라남도,4.65,2.77,77.65,1,0.6256931367229636
2020-01-01,8kg그물망,광주서부도매,전라남도,특,8,6592,978.883495145631,6452799.999999999,전라남도,4.65,2.77,77.65,1,0.8468747213091975
2020-01-01,8kg그물망,광주서부도매,전라남도,특,8,5952,595.4301075268817,3543999.9999999995,전라남도,4.65,2.77,77.65,1,-0.2160348791411958
2020-01-01,8kg그물망,광주서부도매,전라남도,특,8,320,500.0,160000.0,전라남도,4.65,2.77,77.65,1,-0.48056136589944237
2024-01-01,8kg상자,광주서부도매,전라남도,특,8,40320,483.9285714285715,19512000.000000004,전라남도,3.31,2.88,42.0,1,-0.5251103939510825
